,Churn,Age,Income,Email,Contacts,Tenure,MonthlyCharge,Bandwidth_GB_Year,Gender_Female,Gender_Male,Gender_Nonbinary,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed
0,0,68,28561.99,10,0,6.795512947,172.455519,904.5361102,0,1,0,0,0,1,0,0,0,0,1
1,1,27,21704.77,12,0,1.156680997,242.632554,800.9827661,1,0,0,0,0,1,0,1,0,0,0
2,0,50,9609.57,9,0,15.75414408,159.947583,2054.706961,1,0,0,0,0,1,0,0,0,0,1
3,0,48,18925.23,15,2,17.08722662,119.95684,2164.579412,0,1,0,0,1,0,0,1,0,0,0
4,1,83,40074.19,16,2,1.670971726,149.948316,271.4934362,0,1,0,0,1,0,0,0,0,1,0
5,0,83,22660.2,15,3,7.000993555,185.007692,1039.357983,1,0,0,0,0,1,0,0,1,0,0
6,1,79,11467.5,10,0,13.23677381,200.118516,1907.242972,0,1,0,0,1,0,0,0,0,0,1
7,1,30,26759.64,16,0,4.26425515,114.950905,979.6127078,1,0,0,0,1,0,0,1,0,0,0
8,0,49,58634.51,20,2,8.220686373,117.468591,1312.874964,0,0,1,0,1,0,0,0,0,1,0
9,0,86,50231.4,18,1,3.422086139,162.482694,508.7637913,1,0,0,1,0,0,0,1,0,0,0
10,0,23,22580.7,9,0,19.26726194,174.958118,2728.767869,1,0,0,0,0,1,0,0,0,1,0
11,0,56,18342.12,17,1,10.52199781,149.962093,1180.588788,1,0,0,1,0,0,0,1,0,0,0
12,0,83,83671.08,9,0,13.01149229,137.439154,1196.388018,0,1,0,1,0,0,1,0,0,0,0
13,0,29,115114.57,14,1,16.87922024,184.971516,1948.694497,1,0,0,0,0,1,0,0,0,1,0
14,1,30,64256.81,10,3,10.06019902,159.965581,1582.295235,0,1,0,0,0,1,0,0,0,1,0
15,1,39,89061.45,13,1,13.87001293,177.65076,1840.014467,0,1,0,0,1,0,1,0,0,0,0
16,1,63,31659.3,13,1,15.78214958,194.966286,2070.376729,1,0,0,0,0,1,0,1,0,0,0
17,1,60,44142.81,16,3,2.303331273,202.682861,882.0985933,0,1,0,1,0,0,0,0,0,1,0
18,0,61,39262.14,11,1,17.10995632,152.490739,1833.0967,1,0,0,1,0,0,0,0,0,0,1
19,1,23,19494.75,10,1,12.80615845,149.944668,1954.080809,0,1,0,1,0,0,1,0,0,0,0
20,0,38,39624.21,14,0,20.45390977,184.978458,2330.319383,0,1,0,1,0,0,0,0,1,0,0
21,0,30,45714.47,18,1,2.415991977,127.495766,594.1054279,0,1,0,0,1,0,1,0,0,0,0
22,0,52,27442.03,16,1,6.652298992,124.964303,713.0633088,0,1,0,0,0,1,0,0,0,0,1
23,0,68,79699.62,9,0,8.543717478,149.948316,945.3802928,0,1,0,0,0,1,1,0,0,0,0
24,1,75,28520.32,15,1,5.770390256,162.511928,870.76398,1,0,0,1,0,0,0,0,0,0,1
25,1,77,12558.83,12,1,4.157658837,92.455141,774.2937069,0,1,0,0,1,0,0,0,0,1,0
26,1,47,8762.23,15,0,10.40566091,222.649979,1506.446527,1,0,0,1,0,0,0,1,0,0,0
27,1,70,43882.72,12,0,1.392421597,139.981577,419.0508708,1,0,0,0,0,1,0,0,0,0,1
28,1,20,10482.52,13,2,1.430386349,200.132293,1259.415493,1,0,0,0,0,1,0,0,0,1,0
29,1,69,33442.79,18,1,5.425864884,257.651257,1745.125956,0,1,0,0,1,0,0,0,1,0,0
30,0,45,43383.54,14,0,11.08287797,230.105118,1795.465729,0,1,0,0,0,1,0,1,0,0,0
31,0,40,21793.88,13,2,3.586184954,147.489301,492.4771472,1,0,0,1,0,0,0,0,1,0,0
32,1,82,51960.51,9,0,4.727388465,230.105118,1013.993166,1,0,0,1,0,0,1,0,0,0,0
