Tenure,Contacts,Gender_Male,Gender_Female,Gender_Nonbinary,Email,MonthlyCharge,Bandwidth_GB_Year,Age
10.08691319,2,0,1,0,12,124.964303,951.5458256,40
11.37064,1,0,1,0,8,147.4738,985.0942314,87
48.82939,1,0,1,0,8,245.1457,4759.907327,53
68.60055,0,1,0,0,12,182.4833,6003.332389,32
4.26425515,0,0,1,0,16,114.950905,979.6127078,30
4.241019424,0,0,0,1,8,172.440432,1001.860025,83
64.48925,1,0,1,0,11,112.4551,5345.265159,30
14.13869,2,1,0,0,11,240.1149,1672.619185,77
61.51103,1,1,0,0,12,127.4421,5962.353614,33
15.14561,0,0,1,0,10,104.9629,1628.215009,56
48.20538,0,0,1,0,9,105.011,3950.92899,85
67.77528,0,1,0,0,9,210.127,6105.525987,57
60.14219,0,1,0,0,10,165.0182,5526.132591,50
46.23103,1,1,0,0,9,179.9476,4194.479859,58
11.96274778,1,0,1,0,14,119.95684,1639.898269,75
5.429608,3,0,1,0,16,252.6378,1186.544217,38
21.20428,1,0,1,0,6,119.9568,2494.211424,36
49.09017,1,0,1,0,8,172.4404,5006.112648,32
60.45619,1,0,1,0,7,232.624,5921.781561,61
10.25226518,0,0,1,0,14,149.988989,1303.670531,29
12.27728241,0,1,0,0,12,167.484705,1828.057047,77
3.878694,2,0,1,0,14,112.4551,409.0267699,49
3.149071183,2,1,0,0,10,149.962093,520.606284,78
55.75053,0,0,1,0,12,194.9699,5026.107394,23
3.309503,1,1,0,0,15,149.9378,1026.042379,47
66.94572,0,1,0,0,11,179.9476,5873.574766,26
2.661325529,1,0,1,0,13,162.468917,380.7222437,72
2.384942381,1,1,0,0,12,252.62403,904.5789623,47
62.64968,3,1,0,0,8,104.9781,5812.078197,47
11.45756486,2,1,0,0,15,127.478341,1526.143641,75
14.98166868,0,1,0,0,13,242.61428,1890.640168,49
6.721823696,1,1,0,0,11,262.610632,1366.71852,23
4.422442,0,0,1,0,16,127.475,479.3287784,63
18.42609229,2,0,1,0,17,147.442069,1890.385398,47
14.71579,3,0,1,0,10,242.6573,2044.702772,37
6.28842083,0,1,0,0,11,169.944668,958.0823564,19
68.55021,1,0,1,0,11,137.4616,6014.752174,61
62.35684,0,1,0,0,13,147.4564,5695.835152,81
8.907101,1,0,1,0,11,222.6326,1641.698648,81
3.564836875,0,0,1,0,11,119.989722,626.5880936,40
42.94126,1,1,0,0,15,255.1555,4345.808076,21
58.11897,0,1,0,0,10,220.1149,5847.68984,57
69.31083,1,1,0,0,12,214.9663,6230.661267,59
8.853636698,3,0,1,0,14,102.474625,752.7262389,69
10.85537,0,0,1,0,8,222.65,1446.937317,67
14.08292576,0,1,0,0,15,195.006206,1559.679776,79
19.39623,3,0,1,0,12,287.6427,2425.973996,39
2.068518,2,1,0,0,15,194.9663,1291.115762,30
3.354127023,1,1,0,0,13,127.481989,468.2897271,39
3.374565,2,0,1,0,16,139.9349,906.5332012,71
63.411,2,0,1,0,13,157.4836,5483.967712,65
7.294292,0,1,0,0,17,134.9801,983.0214047,35
66.39976,0,0,1,0,11,107.5286,5642.08073,75
7.80313,2,1,0,0,15,142.4827,1652.589596,26
63.81393,0,1,0,0,14,222.6281,6206.567047,85
10.85959186,1,0,1,0,11,232.641455,1561.283799,20
3.043063167,1,1,0,0,18,174.975543,617.542543,88
7.154371452,1,0,1,0,15,217.483972,1123.503268,33
17.26451,0,1,0,0,10,127.4421,2082.052634,45
63.24314,3,1,0,0,11,137.4684,5532.302162,66
20.7012,0,1,0,0,14,169.9447,1918.0889,77
70.64245,0,0,1,0,5,134.9801,5915.025109,70
49.92224,0,0,1,0,13,152.4555,4914.99202,33
63.41331,1,0,0,1,15,267.6427,6297.599869,63
5.645298,1,0,1,0,14,174.9744,1268.042248,24
6.035737465,2,1,0,0,15,179.947583,795.4957358,62
61.18991,1,1,0,0,12,182.4676,5361.413006,74
48.52168,1,0,1,0,14,127.4601,4486.430136,49
66.8244,2,1,0,0,13,117.4858,5746.58453,66
10.92511005,2,1,0,0,15,142.499263,1696.540148,31
8.850426839,0,1,0,0,15,119.95684,1456.887443,58
5.062073,2,0,1,0,11,124.9643,666.238562,39
70.14031,1,1,0,0,13,202.65,7158.98153,22
66.77022,1,1,0,0,14,192.4404,5947.355869,75
55.02676,2,1,0,0,8,265.1283,5234.71552,64
16.21818,0,1,0,0,9,169.9378,1620.352713,81
70.83727,0,1,0,0,14,104.9629,5990.24437,66
47.95497,0,1,0,0,11,184.9715,4421.995837,75
66.59912,0,1,0,0,10,139.965,6176.784118,55
4.801969514,1,0,1,0,11,112.455141,639.3261343,30
56.24647,0,0,1,0,14,217.4725,5086.304493,50
56.24027,1,1,0,0,9,162.4526,5182.334759,18
68.60052,2,0,1,0,11,104.9643,6174.634632,26
1.393262,1,0,1,0,12,240.1149,722.2139832,34
9.660361769,1,1,0,0,12,129.977753,1491.768656,58
6.357562637,1,1,0,0,8,152.510442,1178.057753,81
61.69408,0,0,1,0,6,204.961,5593.020458,35
50.71608,0,1,0,0,7,149.9707,4577.776917,80
3.330819942,0,0,1,0,13,137.439154,556.6697772,50
70.62907,1,0,1,0,11,127.475,6045.138773,20
10.54165852,3,0,1,0,17,200.132293,1773.915003,72
12.78453216,1,1,0,0,10,142.482694,1865.48625,48
66.50713,0,1,0,0,12,230.1344,6078.515237,80
6.57513059,2,0,1,0,12,242.628057,1187.692793,73
11.38275,0,1,0,0,13,267.6647,1636.428296,60
12.04581,0,1,0,0,10,240.1149,1569.259659,75
66.50887,1,1,0,0,10,220.1323,6052.322466,54
59.86596,3,0,1,0,15,162.4937,5270.238451,42
4.089115347,2,1,0,0,15,255.119794,1467.90459,35
9.068923,1,0,1,0,11,147.4601,855.2059629,82
69.70038,2,1,0,0,11,242.6281,6534.959838,34
7.646165,1,1,0,0,10,114.9658,907.2332556,65
10.47338,0,1,0,0,14,104.9781,1428.669992,80
65.51642,0,1,0,0,9,194.9744,5862.216204,18
11.94546,2,1,0,0,11,192.4404,1594.837225,23
10.34247598,0,1,0,0,15,129.948316,1671.469773,27
8.24734,1,0,1,0,9,162.4538,1667.506374,21
8.71167,0,1,0,0,18,137.4616,1129.873915,43
5.7018635,0,0,1,0,11,172.462354,831.9771606,42
70.19733,1,1,0,0,12,162.4676,6554.853473,80
64.85756,0,1,0,0,3,162.4608,6135.9085,62
70.63238,0,0,0,1,12,147.4421,6061.485299,22
5.173292,0,0,1,0,10,232.6378,1366.649837,84
9.312734,1,0,1,0,9,152.509,1332.850025,43
66.75709,0,0,1,0,7,147.4421,5718.272878,31
58.89646,0,0,1,0,11,225.1457,6051.457992,18
2.681114,0,1,0,0,13,207.4811,755.4687511,87
2.138612,1,1,0,0,14,157.4698,292.5858924,80
56.84855,2,0,1,0,14,192.4404,5047.446061,59
65.04247,0,0,1,0,19,187.6422,5709.211479,83
69.76674,1,0,1,0,12,177.4876,6435.760627,83
67.73415,0,1,0,0,13,255.1336,6699.368513,64
3.950587999,0,1,0,0,13,162.446995,1040.272445,60
5.792269,0,0,1,0,15,144.9607,433.9442354,83
5.124495,2,1,0,0,19,192.4705,821.0926195,48
68.38161,1,1,0,0,11,147.4783,5767.046848,78
68.20701,1,1,0,0,14,169.9378,5953.612372,68
60.80126,1,1,0,0,5,197.484,5961.810975,68
65.82455,0,0,1,0,13,162.4713,5760.908084,33
13.01149229,0,1,0,0,9,137.439154,1196.388018,83
54.01225,3,0,1,0,14,79.97886,4585.713564,28
63.097,2,0,1,0,8,172.4555,5826.009497,24
69.46066,1,1,0,0,13,127.482,6002.2228,22
62.83586,1,0,1,0,12,242.6143,5823.67123,31
4.066843,0,0,1,0,11,154.9755,1192.457478,50
4.83427,0,0,1,0,17,257.6549,1159.364961,53
53.90038,1,1,0,0,14,174.991,5202.411958,33
65.24225,1,1,0,0,12,124.9607,5929.34648,72
12.55601,3,0,1,0,8,167.4564,1383.430229,85
57.01956,0,1,0,0,14,179.9476,5056.967909,27
53.53017,0,0,1,0,11,230.1051,4958.500526,61
2.423722078,2,1,0,0,13,152.495236,557.0118807,69
6.526670837,0,0,1,0,14,112.484375,640.9334119,57
53.5035,1,1,0,0,14,210.1051,5464.765587,37
1.525343103,2,0,1,0,10,232.652038,805.1476345,73
13.04114417,0,0,1,0,6,194.999168,1557.923129,26
44.52947,2,0,1,0,11,169.9447,3930.941783,63
57.95857,2,0,1,0,11,147.4601,4883.516353,47
6.695029374,0,0,1,0,12,152.510442,1251.289889,42
1.813049,0,1,0,0,15,192.4404,571.8948363,63
62.91776,0,0,1,0,14,139.9568,5507.18923,24
54.57985,2,1,0,0,6,210.1518,5157.76159,48
2.886437,0,0,1,0,11,159.9349,486.381294,89
62.07809,0,0,1,0,14,142.4526,5893.413959,40
7.007695148,2,0,1,0,13,142.482694,1181.991846,87
70.95714,0,1,0,0,17,162.4538,6557.961131,64
50.55291,0,0,1,0,12,159.9476,4705.493469,83
48.15455,1,0,1,0,15,164.9889,4368.424816,86
3.101413,0,0,1,0,15,159.9349,721.66293,32
1.375567,0,1,0,0,12,235.1591,840.8676674,40
16.88185,0,1,0,0,11,162.4608,2233.112834,44
21.12911,0,0,1,0,18,255.1336,3186.79335,22
66.47977,1,1,0,0,8,242.6573,6103.128953,79
25.17478,2,0,1,0,12,160.0013,2341.106117,44
13.77689046,1,0,1,0,15,179.965581,1440.784345,43
66.99456,2,0,1,0,5,202.65,6740.868766,19
69.22588,2,0,1,0,9,257.6549,6516.163879,19
54.28465,2,0,1,0,13,169.9447,4681.080835,78
7.602068,0,0,1,0,9,124.9935,646.8507919,74
8.856546048,1,0,1,0,12,162.465269,1457.990407,45
4.044209,1,1,0,0,7,245.132,991.6890153,54
46.12924,1,0,1,0,15,182.4653,4325.145663,51
2.108436,0,0,1,0,10,172.4733,702.1831409,27
4.14274,2,0,1,0,7,220.1615,1012.974384,40
17.82124,0,1,0,0,12,119.9568,2296.853164,26
50.62544,2,0,1,0,14,115.0021,4203.629126,86
19.68549,0,0,1,0,13,200.1185,2766.730566,20
62.77848,2,0,1,0,10,159.9349,5449.543139,72
64.88617,1,1,0,0,8,174.9699,6221.262758,38
46.03183,0,0,1,0,13,119.9568,4478.070702,42
62.9411,0,1,0,0,12,115.0021,5481.191737,48
61.32236,0,1,0,0,10,172.4624,5494.745121,43
65.33881,2,1,0,0,17,169.9928,5717.977095,87
47.69242,2,0,1,0,12,159.9349,4214.148669,53
19.48914,0,0,1,0,11,152.5104,2254.987769,65
54.8774,0,1,0,0,9,149.9378,5301.860931,41
1.491763776,0,0,1,0,10,220.161527,830.5471719,20
56.5003,0,1,0,0,13,222.6281,5722.608267,78
8.201372,1,0,1,0,15,245.147,1822.362908,22
50.14744,2,1,0,0,18,192.4567,4466.695172,46
71.63571,3,0,1,0,12,144.9889,6686.415286,45
1.4946,0,1,0,0,10,255.1555,1004.770111,23
54.04993,3,0,1,0,10,172.4885,4981.747627,84
2.354138635,1,1,0,0,15,139.934918,1011.509096,56
15.85774,1,0,1,0,13,149.989,1756.414097,31
5.118556082,2,0,1,0,13,127.473844,1064.629876,42
49.30275,3,1,0,0,14,174.9699,5003.406744,20
11.42145103,2,1,0,0,12,187.609354,1971.843122,22
66.74885,1,1,0,0,12,144.9889,6601.001727,29
