Customer Status,Customer ID,Age,City,Zip Code,Latitude,Longitude,Internet Type,Phone Service,Gender,Tenure in Months,Monthly Charge,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Contract,Paperless Billing,Payment Method,Streaming Movies,Streaming TV
Stayed,K409198,68,Point Baker,99927,56.251,-133.37571,Fiber Optic,Yes,Male,6.795512947,172.455519,75.37800918333333,Yes,Yes,No,No,One year,Yes,Credit Card,Yes,No
Churned,S120509,27,West Branch,48661,44.32893,-84.2408,Fiber Optic,Yes,Female,1.156680997,242.632554,66.74856384166667,Yes,No,No,No,Month-to-month,Yes,Bank Withdrawal,Yes,Yes
Stayed,K191035,50,Yamhill,97148,45.35589,-123.24657,DSL,Yes,Female,15.75414408,159.947583,171.2255800833333,No,No,No,No,Two Year,Yes,Credit Card,Yes,No
Stayed,D90850,48,Del Mar,92014,32.96687,-117.24798,DSL,Yes,Male,17.08722662,119.95684,180.38161766666667,Yes,No,No,No,Two Year,Yes,Mailed Check,No,Yes
Churned,K662701,83,Needville,77461,29.38012,-95.80673,Fiber Optic,No,Male,1.670971726,149.948316,22.624453016666667,No,No,No,Yes,Month-to-month,No,Mailed Check,No,Yes
Stayed,W303516,83,Fort Valley,31030,32.57032,-83.8904,,Yes,Female,7.000993555,185.007692,86.61316525000001,Yes,Yes,Yes,No,One year,No,Electronic Check,Yes,No
Churned,U335188,79,Pioneer,37847,36.4342,-84.27892,DSL,Yes,Male,13.23677381,200.118516,158.93691433333333,No,No,No,Yes,Month-to-month,No,Electronic Check,Yes,Yes
Churned,V538685,30,Oklahoma City,73109,35.43313,-97.52463,DSL,No,Female,4.26425515,114.950905,81.63439231666666,No,Yes,No,No,Month-to-month,Yes,Mailed Check,No,No
Stayed,M716771,49,Saint Cloud,34771,28.27646,-81.16273,DSL,Yes,Nonbinary,8.220686373,117.468591,109.40624700000001,Yes,Yes,No,No,Month-to-month,Yes,Bank Withdrawal,No,No
Stayed,I676080,86,Cincinnati,45237,39.19296,-84.4523,Fiber Optic,Yes,Female,3.422086139,162.482694,42.39698260833333,Yes,No,Yes,No,Two Year,Yes,Mailed Check,Yes,No
Stayed,J980369,23,Little Meadows,18830,41.95142,-76.10744,DSL,Yes,Female,19.26726194,174.958118,227.39732241666664,Yes,Yes,No,No,Month-to-month,No,Mailed Check,No,Yes
Stayed,E243720,56,Corozal,783,18.3041,-66.32847,Fiber Optic,Yes,Female,10.52199781,149.962093,98.382399,No,No,Yes,No,Month-to-month,No,Electronic Check,No,Yes
Stayed,F139569,83,Conesville,52739,41.37287,-91.36865,Fiber Optic,Yes,Male,13.01149229,137.439154,99.69900150000001,No,No,No,No,Month-to-month,No,Bank Withdrawal,No,Yes
Stayed,X44200,29,East Livermore,4228,44.43256,-70.11501,Fiber Optic,Yes,Female,16.87922024,184.971516,162.39120808333334,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,No,Yes
Churned,H68068,30,Hillside,60162,41.86752,-87.90222,DSL,No,Male,10.06019902,159.965581,131.85793625,No,Yes,No,Yes,Month-to-month,Yes,Bank Withdrawal,No,No
Churned,A403906,39,Saint Germain,54558,45.92342,-89.50138,,Yes,Male,13.87001293,177.65076,153.33453891666667,Yes,No,No,No,One year,Yes,Electronic Check,Yes,Yes
Churned,V847470,63,Modesto,95351,37.62326,-120.99637,DSL,Yes,Female,15.78214958,194.966286,172.53139408333334,No,Yes,Yes,No,Month-to-month,Yes,Bank Withdrawal,Yes,No
Churned,F721878,60,Parkton,28371,34.90636,-78.98944,,Yes,Male,2.303331273,202.682861,73.50821610833333,Yes,No,Yes,Yes,Two Year,No,Mailed Check,Yes,Yes
Stayed,F487435,61,Oakland,38060,35.2091,-89.50332,,Yes,Female,17.10995632,152.490739,152.75805833333334,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,No,Yes
Churned,B561228,23,Trafford,35172,33.84469,-86.6974,DSL,Yes,Male,12.80615845,149.944668,162.84006741666667,No,No,No,No,Month-to-month,Yes,Credit Card,No,Yes
Stayed,X325271,38,Kaneville,60144,41.83594,-88.5206,Fiber Optic,Yes,Male,20.45390977,184.978458,194.19328191666668,Yes,Yes,Yes,No,Month-to-month,Yes,Bank Withdrawal,Yes,No
Stayed,I282896,30,Columbus,43215,39.96636,-83.01286,Fiber Optic,Yes,Male,2.415991977,127.495766,49.50878565833333,Yes,No,Yes,No,Two Year,No,Bank Withdrawal,No,No
Stayed,I367206,52,Mallard,50562,42.96153,-94.64179,Fiber Optic,Yes,Male,6.652298992,124.964303,59.4219424,No,No,No,Yes,Month-to-month,Yes,Electronic Check,No,No
Stayed,N37182,68,Baileyville,4694,45.10333,-67.47223,Fiber Optic,Yes,Male,8.543717478,149.948316,78.78169106666667,No,No,No,Yes,One year,Yes,Electronic Check,No,Yes
Churned,U644626,75,Williamsburg,45176,39.08339,-84.02314,,Yes,Female,5.770390256,162.511928,72.563665,Yes,No,Yes,No,Month-to-month,No,Credit Card,Yes,No
Churned,A766555,77,Saint Augustine,32086,29.75675,-81.30311,DSL,Yes,Male,4.157658837,92.455141,64.524475575,No,No,No,No,Month-to-month,No,Bank Withdrawal,No,No
Churned,V54032,47,Tohatchi,87325,36.00209,-108.62285,Fiber Optic,Yes,Female,10.40566091,222.649979,125.53721058333333,Yes,No,Yes,No,Month-to-month,No,Mailed Check,Yes,Yes
Churned,Z301326,70,Erie,48133,41.7812,-83.48594,,Yes,Female,1.392421597,139.981577,34.9209059,No,Yes,Yes,No,Month-to-month,Yes,Electronic Check,No,Yes
Churned,J887250,20,Moretown,5660,44.24718,-72.74137,DSL,Yes,Female,1.430386349,200.132293,104.95129108333333,No,No,Yes,No,One year,No,Bank Withdrawal,Yes,Yes
Churned,Z686376,69,Silver Spring,20902,39.04373,-77.04224,DSL,Yes,Male,5.425864884,257.651257,145.427163,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,Yes,Yes
Stayed,L357432,45,Whitesboro,13492,43.11988,-75.32875,Fiber Optic,No,Male,11.08287797,230.105118,149.62214408333332,No,Yes,No,No,Two Year,Yes,Credit Card,Yes,Yes
Stayed,V899967,40,Sherwood,43556,41.30608,-84.56989,,Yes,Female,3.586184954,147.489301,41.03976226666666,No,Yes,No,Yes,Two Year,No,Electronic Check,No,No
